Installation,Type,Source,Indicator,Value,Resolution
LAS MOLLACAS,deseasonalized,ERA5-Land,pearson,0.9607505411220381,Monthly
LUNA DEL NORTE,deseasonalized,ERA5-Land,pearson,0.9552127659343836,Monthly
SOL DEL NORTE,deseasonalized,ERA5-Land,pearson,0.9647944180439834,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,pearson,0.9628951238955075,Monthly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,pearson,0.951731528761607,Monthly
SPS LA HUAYCA,deseasonalized,ERA5-Land,pearson,0.9765474893683724,Monthly
LAS MOLLACAS,deseasonalized,Rn,pearson,0.9482755649838293,Monthly
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.9471310225436056,Monthly
SOL DEL NORTE,deseasonalized,Rn,pearson,0.9597942933719501,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.9396286001590969,Monthly
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.9526402212962947,Monthly
SPS LA HUAYCA,deseasonalized,Rn,pearson,0.9857248962756218,Monthly
LAS MOLLACAS,deseasonalized,ERA5-Land,mbe,0.10756249999999999,Monthly
LUNA DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.043062500000000004,Monthly
SOL DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.05714374999999999,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,mbe,0.07429375000000002,Monthly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,mbe,0.02920624999999999,Monthly
SPS LA HUAYCA,deseasonalized,ERA5-Land,mbe,0.009706250000000003,Monthly
LAS MOLLACAS,deseasonalized,Rn,mbe,0.11708749999999998,Monthly
LUNA DEL NORTE,deseasonalized,Rn,mbe,0.13648749999999998,Monthly
SOL DEL NORTE,deseasonalized,Rn,mbe,0.11691250000000002,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,mbe,0.14909375,Monthly
SOLAR SANTA CECILIA,deseasonalized,Rn,mbe,0.123975,Monthly
SPS LA HUAYCA,deseasonalized,Rn,mbe,0.014100000000000001,Monthly
LAS MOLLACAS,deseasonalized,ERA5-Land,rmse,0.08256733615661825,Monthly
LUNA DEL NORTE,deseasonalized,ERA5-Land,rmse,0.06182889696573925,Monthly
SOL DEL NORTE,deseasonalized,ERA5-Land,rmse,0.0650260476655317,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,rmse,0.06336193159145323,Monthly
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,rmse,0.05746207988752234,Monthly
SPS LA HUAYCA,deseasonalized,ERA5-Land,rmse,0.028337949378880612,Monthly
LAS MOLLACAS,deseasonalized,Rn,rmse,0.08964569147482775,Monthly
LUNA DEL NORTE,deseasonalized,Rn,rmse,0.10219785345103878,Monthly
SOL DEL NORTE,deseasonalized,Rn,rmse,0.09077756468423243,Monthly
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,rmse,0.10056409336835886,Monthly
SOLAR SANTA CECILIA,deseasonalized,Rn,rmse,0.08630410621749117,Monthly
SPS LA HUAYCA,deseasonalized,Rn,rmse,0.02315534495532295,Monthly
ANDES SOLAR,Raw,ERA5-Land,pearson,0.7974282424835166,Hourly
BELLAVISTA,Raw,ERA5-Land,pearson,0.7674961297209879,Hourly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.6148117654224342,Hourly
CHANARES,Raw,ERA5-Land,pearson,0.738582963149102,Hourly
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.6682640394215617,Hourly
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7610849470809814,Hourly
EL DIVISADERO,Raw,ERA5-Land,pearson,0.7362220450747002,Hourly
FV BOLERO,Raw,ERA5-Land,pearson,0.7826702891546229,Hourly
LA CHAPEANA,Raw,ERA5-Land,pearson,0.7785145320077007,Hourly
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.7794418526426778,Hourly
LALACKAMA,Raw,ERA5-Land,pearson,0.6894889384530316,Hourly
LALACKAMA 2,Raw,ERA5-Land,pearson,0.6775511747606482,Hourly
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.8410778319481784,Hourly
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.8748924006593395,Hourly
LAS TURCAS,Raw,ERA5-Land,pearson,0.7373120660103041,Hourly
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.8566104960341372,Hourly
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.93077880697099,Hourly
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.6311529235427535,Hourly
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.8228285356420268,Hourly
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,0.6812945146252757,Hourly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.8006098397236785,Hourly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.7593626140895499,Hourly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.7892052531755778,Hourly
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.7657779096689175,Hourly
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.8435114825535514,Hourly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,0.5634243475318533,Hourly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,0.7466488098721713,Hourly
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.6307039663363867,Hourly
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.8034337737232652,Hourly
PV SALVADOR,Raw,ERA5-Land,pearson,0.6955740684063131,Hourly
QUILAPILUN,Raw,ERA5-Land,pearson,0.7766043524844586,Hourly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.7739996512656163,Hourly
SANTA JULIA,Raw,ERA5-Land,pearson,0.7778489878076894,Hourly
SDGX01,Raw,ERA5-Land,pearson,0.8431734127879961,Hourly
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.931446924499078,Hourly
SOLAR ANTAY,Raw,ERA5-Land,pearson,0.9310233828455656,Hourly
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.9330142607577832,Hourly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,0.7995632705947792,Hourly
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.8817931465155577,Hourly
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.7753892645537636,Hourly
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.9155824693623548,Hourly
SOLAR HORMIGA,Raw,ERA5-Land,pearson,0.8587852967999241,Hourly
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.7891492218212964,Hourly
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.7918135539368404,Hourly
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.7103007221052487,Hourly
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.748599747223134,Hourly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,0.7002346968259237,Hourly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.7695418860492326,Hourly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.9378897400814772,Hourly
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.6931971745592348,Hourly
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.9106928940387456,Hourly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,0.5699345247514546,Hourly
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.9686802926280526,Hourly
TAMBO REAL,Raw,ERA5-Land,pearson,0.7389578479828995,Hourly
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.791095426609702,Hourly
URIBE SOLAR,Raw,ERA5-Land,pearson,0.7910151944083167,Hourly
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.7879769887055902,Hourly
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.07289054521853165,Hourly
BELLAVISTA,Raw,ERA5-Land,mbe,0.08071645147114978,Hourly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.08081650028869904,Hourly
CHANARES,Raw,ERA5-Land,mbe,0.0450880281461911,Hourly
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.0013028404465799707,Hourly
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.02015809481355673,Hourly
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.13093487682569507,Hourly
FV BOLERO,Raw,ERA5-Land,mbe,-0.041425252155926115,Hourly
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.023732917461375957,Hourly
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.06265375302156395,Hourly
LALACKAMA,Raw,ERA5-Land,mbe,-0.007019173165896653,Hourly
