Installation,Type,Source,Indicator,Value,Resolution
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.5163213174848006,Daily
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.4143175044872061,Daily
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.5425678536506109,Daily
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,-0.17944962088447797,Daily
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.4981986524458804,Daily
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.8719344645630684,Daily
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.3695821111124836,Daily
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.7517673685340289,Daily
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,0.1183336982968862,Daily
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.8401608506416582,Daily
TAMBO REAL,Raw,ERA5-Land,pearson,0.15776589600131186,Daily
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.6940762807066401,Daily
URIBE SOLAR,Raw,ERA5-Land,pearson,0.6085430075004411,Daily
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.6783380840022126,Daily
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.06579135446685877,Daily
BELLAVISTA,Raw,ERA5-Land,mbe,0.09728728323699423,Daily
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.08859817684594347,Daily
CHANARES,Raw,ERA5-Land,mbe,0.051632855191256835,Daily
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.01069129511677283,Daily
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.008212903225806454,Daily
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.13096080000000002,Daily
FV BOLERO,Raw,ERA5-Land,mbe,-0.03370199004975123,Daily
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.013612665406427226,Daily
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.04863653444676408,Daily
LALACKAMA,Raw,ERA5-Land,mbe,-0.0037575905292479158,Daily
LALACKAMA 2,Raw,ERA5-Land,mbe,0.0032322075782537023,Daily
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.09428699763593383,Daily
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04850845724907064,Daily
LAS TURCAS,Raw,ERA5-Land,mbe,-0.025350572082379858,Daily
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10727377567140603,Daily
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.018146740994854204,Daily
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.02336765432098765,Daily
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.09829057639524244,Daily
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.01970338983050848,Daily
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.03223606194690265,Daily
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.028735747021081576,Daily
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.07619617373319545,Daily
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.041922002635046106,Daily
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.075324,Daily
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.2074930576070901,Daily
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.06791583969465649,Daily
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.3376837704918033,Daily
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.2055312614259598,Daily
PV SALVADOR,Raw,ERA5-Land,mbe,-0.024803063308373046,Daily
QUILAPILUN,Raw,ERA5-Land,mbe,0.03575068181818182,Daily
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.04710605427974948,Daily
SANTA JULIA,Raw,ERA5-Land,mbe,-0.03293617245005258,Daily
SDGX01,Raw,ERA5-Land,mbe,-0.005495920745920747,Daily
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.02155273851590106,Daily
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.06321004464285715,Daily
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04891112385321101,Daily
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.13852568639414276,Daily
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03980374429223744,Daily
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.11883971539456666,Daily
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05689457659372026,Daily
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.06984765840220386,Daily
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.1568300731261426,Daily
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.11236349206349204,Daily
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.029316142857142864,Daily
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.048917301750772385,Daily
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.15351068493150682,Daily
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.04300188470066519,Daily
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.021627042079207917,Daily
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.09001874640598044,Daily
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.009593716337522444,Daily
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.15678923705722073,Daily
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004836688014638609,Daily
TAMBO REAL,Raw,ERA5-Land,mbe,0.08616449480642115,Daily
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.03681924778761062,Daily
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.16146750348675035,Daily
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.012414492753623187,Daily
ANDES SOLAR,Raw,ERA5-Land,rmse,0.12499958616646195,Daily
BELLAVISTA,Raw,ERA5-Land,rmse,0.18314828361714866,Daily
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.1920190790239525,Daily
CHANARES,Raw,ERA5-Land,rmse,0.1381548079129118,Daily
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.1583402721465373,Daily
CORDILLERILLA,Raw,ERA5-Land,rmse,0.14414054765403753,Daily
EL DIVISADERO,Raw,ERA5-Land,rmse,0.19098207057208275,Daily
FV BOLERO,Raw,ERA5-Land,rmse,0.12906098401669092,Daily
LA CHAPEANA,Raw,ERA5-Land,rmse,0.11936578331684125,Daily
LA QUINTA SOLAR,Raw,ERA5-Land,rmse,0.14661615636378328,Daily
LALACKAMA,Raw,ERA5-Land,rmse,0.11066695572992533,Daily
LALACKAMA 2,Raw,ERA5-Land,rmse,0.11160462098426384,Daily
LAS ARAUCARIAS,Raw,ERA5-Land,rmse,0.1503123991179876,Daily
LAS MOLLACAS,Raw,ERA5-Land,rmse,0.10046781110770373,Daily
LAS TURCAS,Raw,ERA5-Land,rmse,0.1516900605255419,Daily
LOS PUQUIOS,Raw,ERA5-Land,rmse,0.15435993190656394,Daily
LUNA DEL NORTE,Raw,ERA5-Land,rmse,0.06866446989080988,Daily
LUZ DEL NORTE,Raw,ERA5-Land,rmse,0.15932547475325404,Daily
MARIA ELENA FV,Raw,ERA5-Land,rmse,0.1337043489826378,Daily
PAMPA SOLAR NORTE,Raw,ERA5-Land,rmse,0.14535034825821247,Daily
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,rmse,0.12046660894904206,Daily
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,rmse,0.15402347003532674,Daily
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,rmse,0.13563130329806974,Daily
PFV LAGUNILLA,Raw,ERA5-Land,rmse,0.14928671532611007,Daily
PFV LOS LOROS,Raw,ERA5-Land,rmse,0.12778999888964793,Daily
PILOTO SOLAR CARDONES,Raw,ERA5-Land,rmse,0.2823976207213323,Daily
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,rmse,0.1611449793516044,Daily
PMGD PICA PILOT,Raw,ERA5-Land,rmse,0.3619809200433219,Daily
PUERTO SECO SOLAR,Raw,ERA5-Land,rmse,0.2265417827727696,Daily
PV SALVADOR,Raw,ERA5-Land,rmse,0.12507651488005453,Daily
QUILAPILUN,Raw,ERA5-Land,rmse,0.1509980835971106,Daily
SAN FRANCISCO SOLAR,Raw,ERA5-Land,rmse,0.15041510384782916,Daily
SANTA JULIA,Raw,ERA5-Land,rmse,0.1290761588944786,Daily
SDGX01,Raw,ERA5-Land,rmse,0.11500473016521084,Daily
SOL DEL NORTE,Raw,ERA5-Land,rmse,0.07056480763079942,Daily
SOLAR ANTAY,Raw,ERA5-Land,rmse,0.10187105152295647,Daily
SOLAR CHUCHINI,Raw,ERA5-Land,rmse,0.08626284833167508,Daily
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,rmse,0.1936627660534173,Daily
SOLAR EL AGUILA I,Raw,ERA5-Land,rmse,0.12075699894631592,Daily
SOLAR EL ROMERO,Raw,ERA5-Land,rmse,0.16763296909793698,Daily
SOLAR ESPERANZA,Raw,ERA5-Land,rmse,0.09424061527828884,Daily
SOLAR HORMIGA,Raw,ERA5-Land,rmse,0.13934701387357426,Daily
SOLAR JAMA 1,Raw,ERA5-Land,rmse,0.18053697892311074,Daily
SOLAR JAMA 2,Raw,ERA5-Land,rmse,0.14352829750566246,Daily
SOLAR JAVIERA,Raw,ERA5-Land,rmse,0.12426183076759445,Daily
SOLAR LA SILLA,Raw,ERA5-Land,rmse,0.14125097577199122,Daily
SOLAR LAS TERRAZAS,Raw,ERA5-Land,rmse,0.32487202709815993,Daily
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,rmse,0.12198091573135834,Daily
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,rmse,0.06337984905385237,Daily
SOLAR SAN ANDRES,Raw,ERA5-Land,rmse,0.17344790200404045,Daily
SOLAR SANTA CECILIA,Raw,ERA5-Land,rmse,0.0734839821821253,Daily
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,rmse,0.2607622216237583,Daily
SPS LA HUAYCA,Raw,ERA5-Land,rmse,0.04190511315688903,Daily
TAMBO REAL,Raw,ERA5-Land,rmse,0.1782376790582501,Daily
TILTIL SOLAR,Raw,ERA5-Land,rmse,0.13004285372641486,Daily
URIBE SOLAR,Raw,ERA5-Land,rmse,0.19406001710063567,Daily
VALLE DE LA LUNA II,Raw,ERA5-Land,rmse,0.13097332492782682,Daily
ANDES SOLAR,Raw,ERA5-Land,pearson,0.2454555483888458,Monthly
BELLAVISTA,Raw,ERA5-Land,pearson,0.4622516462317015,Monthly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.045507397436984884,Monthly
CHANARES,Raw,ERA5-Land,pearson,0.2277120132755112,Monthly
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.23648948600091385,Monthly
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7641774157079241,Monthly
EL DIVISADERO,Raw,ERA5-Land,pearson,0.4317299310858773,Monthly
FV BOLERO,Raw,ERA5-Land,pearson,0.3057989226452333,Monthly
LA CHAPEANA,Raw,ERA5-Land,pearson,0.7063845246126841,Monthly
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.4877702352616383,Monthly
LALACKAMA,Raw,ERA5-Land,pearson,0.4715187700800563,Monthly
LALACKAMA 2,Raw,ERA5-Land,pearson,0.4202276859937978,Monthly
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.6754257603059649,Monthly
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.872421924494852,Monthly
LAS TURCAS,Raw,ERA5-Land,pearson,0.7528759065329421,Monthly
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.11036625287771756,Monthly
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.8465298030625324,Monthly
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.03796130883010936,Monthly
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.06403409149814096,Monthly
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,-0.041565226925449776,Monthly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.6360401653462722,Monthly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.15332149060403086,Monthly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.4447522449816821,Monthly
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.6551245216479253,Monthly
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.9012008281451884,Monthly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,-0.07768215876804829,Monthly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,-0.261424086431683,Monthly
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.16411427078774507,Monthly
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.2620951956857939,Monthly
PV SALVADOR,Raw,ERA5-Land,pearson,0.23419528893679936,Monthly
QUILAPILUN,Raw,ERA5-Land,pearson,0.22467970851874688,Monthly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.5781919589574076,Monthly
SANTA JULIA,Raw,ERA5-Land,pearson,0.7833559144392594,Monthly
SDGX01,Raw,ERA5-Land,pearson,0.5346861239354475,Monthly
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.8388516994855043,Monthly
SOLAR ANTAY,Raw,ERA5-Land,pearson,-0.5588578031130004,Monthly
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.7703318391690169,Monthly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,-0.15272508574935276,Monthly
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.0800891574115274,Monthly
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.4165829715879161,Monthly
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.5219578965898989,Monthly
SOLAR HORMIGA,Raw,ERA5-Land,pearson,-0.15236469975405575,Monthly
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.10263855489286224,Monthly
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.13691471007276032,Monthly
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.30638231289681866,Monthly
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.26845258806624644,Monthly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,-0.6099196093994899,Monthly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.2754215615965728,Monthly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.8841001014425527,Monthly
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.25331869491043835,Monthly
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.9043616661902502,Monthly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,-0.4167835032752229,Monthly
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.8970246645431108,Monthly
TAMBO REAL,Raw,ERA5-Land,pearson,-0.2665184556059171,Monthly
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.6612372115434246,Monthly
URIBE SOLAR,Raw,ERA5-Land,pearson,0.4102464584044561,Monthly
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.6803719787008071,Monthly
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.06477999999999998,Monthly
BELLAVISTA,Raw,ERA5-Land,mbe,0.10724999999999997,Monthly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.09779189189189186,Monthly
CHANARES,Raw,ERA5-Land,mbe,0.05232244897959185,Monthly
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.010684375000000005,Monthly
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.0038923076923076953,Monthly
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.12569999999999998,Monthly
FV BOLERO,Raw,ERA5-Land,mbe,-0.024449999999999986,Monthly
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.013566666666666664,Monthly
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.05031875,Monthly
LALACKAMA,Raw,ERA5-Land,mbe,-0.004716666666666665,Monthly
LALACKAMA 2,Raw,ERA5-Land,mbe,6.928571428571525e-4,Monthly
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.09063666666666667,Monthly
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04779722222222222,Monthly
LAS TURCAS,Raw,ERA5-Land,mbe,-0.030206666666666673,Monthly
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10805416666666667,Monthly
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.017219999999999985,Monthly
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.03749767441860466,Monthly
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.09854444444444443,Monthly
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.007488235294117657,Monthly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.030040000000000008,Monthly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.027355555555555564,Monthly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.07689375,Monthly
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.04235555555555556,Monthly
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.08151935483870969,Monthly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.19422608695652172,Monthly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.047738888888888865,Monthly
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.34744166666666665,Monthly
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.20625,Monthly
PV SALVADOR,Raw,ERA5-Land,mbe,-0.012150980392156865,Monthly
QUILAPILUN,Raw,ERA5-Land,mbe,0.047463333333333316,Monthly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.04931250000000001,Monthly
SANTA JULIA,Raw,ERA5-Land,mbe,-0.033600000000000005,Monthly
SDGX01,Raw,ERA5-Land,mbe,-0.013080645161290323,Monthly
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.02345128205128204,Monthly
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.02050555555555555,Monthly
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04818,Monthly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.14697142857142856,Monthly
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03871111111111111,Monthly
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.12132307692307695,Monthly
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05572162162162162,Monthly
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.08204800000000001,Monthly
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.15743333333333334,Monthly
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.1074027777777778,Monthly
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.03467916666666667,Monthly
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.03822727272727272,Monthly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.15300625,Monthly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.041470000000000014,Monthly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.022016666666666667,Monthly
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.09257966101694914,Monthly
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.008191228070175442,Monthly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.16609259259259254,Monthly
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004311111111111109,Monthly
TAMBO REAL,Raw,ERA5-Land,mbe,0.0797105263157895,Monthly
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.03724516129032256,Monthly
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.16500833333333334,Monthly
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.013312500000000008,Monthly
ANDES SOLAR,Raw,ERA5-Land,rmse,0.10784522375012387,Monthly
BELLAVISTA,Raw,ERA5-Land,rmse,0.16596440130341206,Monthly
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.18946449214505545,Monthly
CHANARES,Raw,ERA5-Land,rmse,0.11031569355671003,Monthly
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.1222588404267765,Monthly
CORDILLERILLA,Raw,ERA5-Land,rmse,0.10003449789562983,Monthly
EL DIVISADERO,Raw,ERA5-Land,rmse,0.1525233050108362,Monthly
FV BOLERO,Raw,ERA5-Land,rmse,0.11621751745600302,Monthly
LA CHAPEANA,Raw,ERA5-Land,rmse,0.08444286036525922,Monthly
LA QUINTA SOLAR,Raw,ERA5-Land,rmse,0.1192567110270948,Monthly
LALACKAMA,Raw,ERA5-Land,rmse,0.06897133764591394,Monthly
LALACKAMA 2,Raw,ERA5-Land,rmse,0.06778957463040633,Monthly
LAS ARAUCARIAS,Raw,ERA5-Land,rmse,0.11861203002506393,Monthly
LAS MOLLACAS,Raw,ERA5-Land,rmse,0.05502598628526949,Monthly
LAS TURCAS,Raw,ERA5-Land,rmse,0.10188476170000432,Monthly
LOS PUQUIOS,Raw,ERA5-Land,rmse,0.14512043130907973,Monthly
LUNA DEL NORTE,Raw,ERA5-Land,rmse,0.03910315844020787,Monthly
LUZ DEL NORTE,Raw,ERA5-Land,rmse,0.1616940924551164,Monthly
MARIA ELENA FV,Raw,ERA5-Land,rmse,0.12615400200636612,Monthly
PAMPA SOLAR NORTE,Raw,ERA5-Land,rmse,0.13461154788326826,Monthly
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,rmse,0.08331775321022526,Monthly
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,rmse,0.1472661309783527,Monthly
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,rmse,0.11035392777332396,Monthly
PFV LAGUNILLA,Raw,ERA5-Land,rmse,0.11668525883602275,Monthly
PFV LOS LOROS,Raw,ERA5-Land,rmse,0.10410529254309728,Monthly
PILOTO SOLAR CARDONES,Raw,ERA5-Land,rmse,0.2435896478131596,Monthly
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,rmse,0.1788625341179955,Monthly
PMGD PICA PILOT,Raw,ERA5-Land,rmse,0.3624538913204455,Monthly
PUERTO SECO SOLAR,Raw,ERA5-Land,rmse,0.22010877235282256,Monthly
PV SALVADOR,Raw,ERA5-Land,rmse,0.11792514990616786,Monthly
QUILAPILUN,Raw,ERA5-Land,rmse,0.14919358230165264,Monthly
SAN FRANCISCO SOLAR,Raw,ERA5-Land,rmse,0.11424519683557817,Monthly
SANTA JULIA,Raw,ERA5-Land,rmse,0.10018464203659164,Monthly
SDGX01,Raw,ERA5-Land,rmse,0.06047490281900205,Monthly
SOL DEL NORTE,Raw,ERA5-Land,rmse,0.04166505022505565,Monthly
SOLAR ANTAY,Raw,ERA5-Land,rmse,0.11779303176900295,Monthly
SOLAR CHUCHINI,Raw,ERA5-Land,rmse,0.06497260448322302,Monthly
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,rmse,0.193794170080379,Monthly
SOLAR EL AGUILA I,Raw,ERA5-Land,rmse,0.105378284185015,Monthly
SOLAR EL ROMERO,Raw,ERA5-Land,rmse,0.15363494944936096,Monthly
SOLAR ESPERANZA,Raw,ERA5-Land,rmse,0.07981789916445453,Monthly
SOLAR HORMIGA,Raw,ERA5-Land,rmse,0.14259503217153113,Monthly
SOLAR JAMA 1,Raw,ERA5-Land,rmse,0.17418783603404178,Monthly
SOLAR JAMA 2,Raw,ERA5-Land,rmse,0.13603711401264318,Monthly
SOLAR JAVIERA,Raw,ERA5-Land,rmse,0.09871379716128843,Monthly
SOLAR LA SILLA,Raw,ERA5-Land,rmse,0.12739511074772156,Monthly
SOLAR LAS TERRAZAS,Raw,ERA5-Land,rmse,0.2922499868120898,Monthly
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,rmse,0.10698751484791737,Monthly
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,rmse,0.03449059721570934,Monthly
SOLAR SAN ANDRES,Raw,ERA5-Land,rmse,0.161871085974538,Monthly
SOLAR SANTA CECILIA,Raw,ERA5-Land,rmse,0.03043272419213217,Monthly
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,rmse,0.2549833044643424,Monthly
SPS LA HUAYCA,Raw,ERA5-Land,rmse,0.018883826118901038,Monthly
TAMBO REAL,Raw,ERA5-Land,rmse,0.1478915925869173,Monthly
TILTIL SOLAR,Raw,ERA5-Land,rmse,0.10159864426324317,Monthly
URIBE SOLAR,Raw,ERA5-Land,rmse,0.18272155501381512,Monthly
VALLE DE LA LUNA II,Raw,ERA5-Land,rmse,0.09768998157436616,Monthly
ANDES SOLAR,Raw,Rn,pearson,0.8191197683544145,Hourly
BELLAVISTA,Raw,Rn,pearson,0.772401662970448,Hourly
CARRERA PINTO ETAPA I,Raw,Rn,pearson,0.6271529938725398,Hourly
CHANARES,Raw,Rn,pearson,0.7510036414004749,Hourly
CONEJO SOLAR,Raw,Rn,pearson,0.6857293347194905,Hourly
CORDILLERILLA,Raw,Rn,pearson,0.7547542572986626,Hourly
EL DIVISADERO,Raw,Rn,pearson,0.7544972385677636,Hourly
FV BOLERO,Raw,Rn,pearson,0.7939512647864985,Hourly
LA CHAPEANA,Raw,Rn,pearson,0.7708899453198673,Hourly
LA QUINTA SOLAR,Raw,Rn,pearson,0.7722094580247522,Hourly
LALACKAMA,Raw,Rn,pearson,0.7033298961914191,Hourly
LALACKAMA 2,Raw,Rn,pearson,0.6921129320312801,Hourly
LAS ARAUCARIAS,Raw,Rn,pearson,0.8150534968761524,Hourly
LAS MOLLACAS,Raw,Rn,pearson,0.8575728158119202,Hourly
LAS TURCAS,Raw,Rn,pearson,0.7425127484820007,Hourly
LOS PUQUIOS,Raw,Rn,pearson,0.8446916573243722,Hourly
LUNA DEL NORTE,Raw,Rn,pearson,0.9271647817240984,Hourly
LUZ DEL NORTE,Raw,Rn,pearson,0.6436310561206091,Hourly
MARIA ELENA FV,Raw,Rn,pearson,0.8412878476799511,Hourly
PAMPA SOLAR NORTE,Raw,Rn,pearson,0.6982679640768092,Hourly
PARQUE SOLAR CUZ CUZ,Raw,Rn,pearson,0.7979483491431641,Hourly
PARQUE SOLAR FINIS TERRAE,Raw,Rn,pearson,0.7739416355810836,Hourly
PARQUE SOLAR PAMPA CAMARONES,Raw,Rn,pearson,0.8155547449164579,Hourly
PFV LAGUNILLA,Raw,Rn,pearson,0.7649121734774689,Hourly
PFV LOS LOROS,Raw,Rn,pearson,0.8393502448103967,Hourly
PILOTO SOLAR CARDONES,Raw,Rn,pearson,0.6048493024209288,Hourly
PLANTA PV CERRO DOMINADOR,Raw,Rn,pearson,0.7642931255837191,Hourly
PMGD PICA PILOT,Raw,Rn,pearson,0.6389899845021616,Hourly
PUERTO SECO SOLAR,Raw,Rn,pearson,0.8291159620354692,Hourly
PV SALVADOR,Raw,Rn,pearson,0.7142265283036571,Hourly
QUILAPILUN,Raw,Rn,pearson,0.7647545475497655,Hourly
SAN FRANCISCO SOLAR,Raw,Rn,pearson,0.7647452973562128,Hourly
SANTA JULIA,Raw,Rn,pearson,0.7705304852441781,Hourly
