,pearson_h_era5,pearson_h_rn,mbe_h_era5,mbe_h_rn,rmse_h_era5,rmse_h_rn,pearson_d_era5,pearson_d_rn,mbe_d_era5,mbe_d_rn,rmse_d_era5,rmse_d_rn,pearson_m_era5,pearson_m_rn,mbe_m_era5,mbe_m_rn,rmse_m_era5,rmse_m_rn
LAS MOLLACAS,0.5253118019305115,0.4578720277223896,0.045317203000803434,0.04962846259472244,0.17074727417227129,0.17666516548962438,0.7284794883706593,0.6860787593837322,0.048505297397769515,0.05287369888475836,0.10046555953368476,0.10823354631687505,0.9607505411220381,0.9482755649838293,0.10756249999999999,0.11708749999999998,0.08256733615661825,0.08964569147482775
LUNA DEL NORTE,0.7801451270891921,0.7441992675741104,-0.021172075765082805,0.05025231548246501,0.1173825278134357,0.12863044589508715,0.8755289023815622,0.8200811566053448,-0.018145797598627788,0.05360077186963979,0.06866577566630933,0.09364576501538831,0.9552127659343836,0.9471310225436056,-0.043062500000000004,0.13648749999999998,0.06182889696573925,0.10219785345103878
SOL DEL NORTE,0.7803818885285716,0.7365936538086925,-0.024595842711730254,0.04676007869850456,0.11849611658977503,0.12958789692195685,0.8738157687976145,0.8108216643913909,-0.021551148409893993,0.050013780918727914,0.07056141555924443,0.09361456360756391,0.9647944180439834,0.9597942933719501,-0.05714374999999999,0.11691250000000002,0.0650260476655317,0.09077756468423243
SOLAR PSF LOMAS COLORADAS,0.7877334039192448,0.7524330386349322,0.019956235553918972,0.04191482750744789,0.1155275085249886,0.12253587825501037,0.9033079919348534,0.83846004732232,0.02162704207920792,0.04459566831683168,0.06337906962542254,0.0877623374306264,0.9628951238955075,0.9396286001590969,0.07429375000000002,0.14909375,0.06336193159145323,0.10056409336835886
SOLAR SANTA CECILIA,0.7314110291586691,0.7289739845413038,0.008426535922134276,0.03484472454459064,0.1323781810975676,0.13569490835164014,0.8315417618357656,0.7946053675280066,0.009592040694195095,0.03626923997606224,0.07348328139871464,0.08846278017878426,0.951731528761607,0.9526402212962947,0.02920624999999999,0.123975,0.05746207988752234,0.08630410621749117
SPS LA HUAYCA,0.8474674831128745,0.8400994408183107,0.004087019410476045,0.006105972251746701,0.08422149182946909,0.0807970690448146,0.9120001151786152,0.8757966809683423,0.004838700823421776,0.006986184812442817,0.04190614759024556,0.05011682153278426,0.9765474893683724,0.9857248962756218,0.009706250000000003,0.014100000000000001,0.028337949378880612,0.02315534495532295
