,pearson_h,mbe_h,rmse_h,pearson_d,mbe_d,rmse_d,pearson_m,mbe_m,rmse_m
LALACKAMA,0.6894889384530316,-0.007019173165896653,0.2492752399228253,0.4972776847533597,-0.0037575905292479158,0.11066695572992533,0.4715187700800563,-0.004716666666666665,0.06897133764591394
LALACKAMA 2,0.6775511747606482,-0.0003538429702829448,0.2534210406415427,0.4356960387546303,0.0032322075782537023,0.11160462098426384,0.4202276859937978,0.0006928571428571525,0.06778957463040633
LAS ARAUCARIAS,0.8410778319481784,0.08479968966742515,0.19837964993411109,0.6483236559538181,0.09428699763593383,0.1503123991179876,0.6754257603059649,0.09063666666666667,0.11861203002506393
LAS MOLLACAS,0.8748924006593395,0.04531720300080345,0.17074727417227129,0.6702723675015118,0.04850845724907064,0.10046781110770373,0.872421924494852,0.04779722222222222,0.05502598628526949
LAS TURCAS,0.7373120660103041,-0.0377375367029381,0.25074081502604817,0.6620884040145864,-0.025350572082379858,0.1516900605255419,0.7528759065329421,-0.030206666666666673,0.10188476170000432
LOS PUQUIOS,0.8566104960341372,0.10782177671788408,0.2063702493929054,0.3985941007064976,0.10727377567140603,0.15435993190656394,0.11036625287771756,0.10805416666666667,0.14512043130907973
LUNA DEL NORTE,0.93077880697099,-0.021172075765082805,0.1173825278134357,0.8067079799892758,-0.018146740994854204,0.06866446989080988,0.8465298030625324,-0.017219999999999985,0.03910315844020787
LUZ DEL NORTE,0.6311529235427535,0.012818386677009592,0.27822901119677723,0.24823800392702136,0.02336765432098765,0.15932547475325404,0.03796130883010936,0.03749767441860466,0.1616940924551164
MARIA ELENA FV,0.8228285356420268,-0.1050079039456046,0.22380965689277527,0.42394515689966666,-0.09829057639524244,0.1337043489826378,0.06403409149814096,-0.09854444444444443,0.12615400200636612
PAMPA SOLAR NORTE,0.6812945146252757,-0.026894443864706158,0.26741993825846394,0.37817072534503104,-0.01970338983050848,0.14535034825821247,-0.041565226925449776,-0.007488235294117657,0.13461154788326826
PARQUE SOLAR CUZ CUZ,0.8006098397236785,0.02336336150042102,0.20364499068487416,0.6639877981480106,0.03223606194690265,0.12046660894904206,0.6360401653462722,0.030040000000000008,0.08331775321022526
PARQUE SOLAR FINIS TERRAE,0.7593626140895499,-0.03378647794223167,0.236856757753868,0.31977131120091085,-0.028735747021081576,0.15402347003532674,0.15332149060403086,-0.027355555555555564,0.1472661309783527
PARQUE SOLAR PAMPA CAMARONES,0.7892052531755778,-0.08090149924621183,0.2239664658822074,0.5190950956085117,-0.07619617373319545,0.13563130329806974,0.4447522449816821,-0.07689375,0.11035392777332396
PFV LAGUNILLA,0.7657779096689175,-0.05332867657177298,0.2328459436504841,0.6356967176169298,-0.041922002635046106,0.14928671532611007,0.6551245216479253,-0.04235555555555556,0.11668525883602275
PFV LOS LOROS,0.8435114825535514,0.07319622207685789,0.19989345846943585,0.8567790430009598,0.075324,0.12778999888964793,0.9012008281451884,0.08151935483870969,0.10410529254309728
PILOTO SOLAR CARDONES,0.5634243475318533,0.17840904440943553,0.3029527296384847,0.025274648158818743,0.2074930576070901,0.2823976207213323,-0.07768215876804829,0.19422608695652172,0.2435896478131596
PLANTA PV CERRO DOMINADOR,0.7466488098721713,-0.07477576734668989,0.2507007631069603,0.06566958132591186,-0.06791583969465649,0.1611449793516044,-0.261424086431683,-0.047738888888888865,0.1788625341179955
PMGD PICA PILOT,0.6307039663363867,0.3461789336617991,0.4380752023333017,0.17748281589613135,0.3376837704918033,0.3619809200433219,0.16411427078774507,0.34744166666666665,0.3624538913204455
PUERTO SECO SOLAR,0.8034337737232652,-0.2121964350271247,0.30475091381847985,0.5066469037554004,-0.2055312614259598,0.2265417827727696,0.2620951956857939,-0.20625,0.22010877235282256
PV SALVADOR,0.6955740684063131,-0.032235465187183746,0.2554315863641036,0.4307337715134855,-0.024803063308373046,0.12507651488005453,0.23419528893679936,-0.012150980392156865,0.11792514990616786
QUILAPILUN,0.7766043524844586,0.02395559829308222,0.21597548228565025,0.5771217199978247,0.03575068181818182,0.1509980835971106,0.22467970851874688,0.047463333333333316,0.14919358230165264
SAN FRANCISCO SOLAR,0.7739996512656163,-0.0593424150522916,0.2309296184321271,0.6392445451362402,-0.04710605427974948,0.15041510384782916,0.5781919589574076,-0.04931250000000001,0.11424519683557817
SANTA JULIA,0.7778489878076894,-0.04570105684818632,0.22396897368059931,0.7565563391295119,-0.03293617245005258,0.1290761588944786,0.7833559144392594,-0.033600000000000005,0.10018464203659164
SDGX01,0.8431734127879961,-0.013861100117954805,0.17061684437415234,0.5039310950297524,-0.005495920745920747,0.11500473016521084,0.5346861239354475,-0.013080645161290323,0.06047490281900205
SOL DEL NORTE,0.931446924499078,-0.024595842711730254,0.11849611658977505,0.8003065445810469,-0.02155273851590106,0.07056480763079942,0.8388516994855043,-0.02345128205128204,0.04166505022505565
SOLAR ANTAY,0.9310233828455656,-0.06752760966071318,0.16042456436644234,0.4385980584254072,-0.06321004464285715,0.10187105152295647,-0.5588578031130004,-0.02050555555555555,0.11779303176900295
SOLAR CHUCHINI,0.9330142607577832,0.04344582868664903,0.12645293428795013,0.8040931847357734,0.04891112385321101,0.08626284833167508,0.7703318391690169,0.04818,0.06497260448322302
SOLAR DIEGO DE ALMAGRO,0.7995632705947792,0.12901600491761714,0.23567308816146476,0.223968665603144,0.13852568639414276,0.1936627660534173,-0.15272508574935276,0.14697142857142856,0.193794170080379
SOLAR EL AGUILA I,0.8817931465155577,0.03688398589685343,0.16064853812250754,0.26326536735114897,0.03980374429223744,0.12075699894631592,0.0800891574115274,0.03871111111111111,0.105378284185015
SOLAR EL ROMERO,0.7753892645537636,0.11802548259906667,0.2407712421183435,0.425734848392934,0.11883971539456666,0.16763296909793698,0.4165829715879161,0.12132307692307695,0.15363494944936096
SOLAR ESPERANZA,0.9155824693623548,0.05596254987778842,0.13546103310912752,0.5778223290490744,0.05689457659372026,0.09424061527828884,0.5219578965898989,0.05572162162162162,0.07981789916445453
SOLAR HORMIGA,0.8587852967999241,0.06519427695251095,0.1812701494291276,0.5584275302253624,0.06984765840220386,0.13934701387357426,-0.15236469975405575,0.08204800000000001,0.14259503217153113
