Installation,Type,Source,Indicator,Value,Resolution,set,Set
VALLE DE LA LUNA II,Raw,ERA5-Land,rmse,0.21591939211384065,Hourly,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,pearson,0.4542872107256888,Daily,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,pearson,0.5502644413046263,Daily,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.2391302162161542,Daily,all,All
CHANARES,Raw,ERA5-Land,pearson,0.3650880216378764,Daily,all,All
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.3239187494685047,Daily,all,All
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7306075351262288,Daily,all,All
EL DIVISADERO,Raw,ERA5-Land,pearson,0.5969693907981345,Daily,all,All
FV BOLERO,Raw,ERA5-Land,pearson,0.4605050744070617,Daily,all,All
LA CHAPEANA,Raw,ERA5-Land,pearson,0.6394984512507733,Daily,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.6386150632438851,Daily,subset_1,S1
LALACKAMA,Raw,ERA5-Land,pearson,0.4972776847533597,Daily,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,pearson,0.4356960387546303,Daily,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.6483236559538181,Daily,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.6702723675015118,Daily,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,pearson,0.6620884040145864,Daily,all,All
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.3985941007064976,Daily,all,All
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.8067079799892758,Daily,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.24823800392702136,Daily,all,All
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.42394515689966666,Daily,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,0.37817072534503104,Daily,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.6639877981480106,Daily,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.31977131120091085,Daily,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.5190950956085117,Daily,all,All
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.6356967176169298,Daily,all,All
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.8567790430009598,Daily,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,0.025274648158818743,Daily,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,0.06566958132591186,Daily,all,All
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.17748281589613135,Daily,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.5066469037554004,Daily,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,pearson,0.4307337715134855,Daily,all,All
QUILAPILUN,Raw,ERA5-Land,pearson,0.5771217199978247,Daily,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.6392445451362402,Daily,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,pearson,0.7565563391295119,Daily,subset_1,S1
SDGX01,Raw,ERA5-Land,pearson,0.5039310950297524,Daily,all,All
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.8003065445810469,Daily,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,pearson,0.4385980584254072,Daily,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.8040931847357734,Daily,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,0.223968665603144,Daily,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.26326536735114897,Daily,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.425734848392934,Daily,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.5778223290490744,Daily,all,All
SOLAR HORMIGA,Raw,ERA5-Land,pearson,0.5584275302253624,Daily,all,All
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.5367544036427517,Daily,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.5163213174848006,Daily,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.4143175044872061,Daily,all,All
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.5425678536506109,Daily,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,-0.17944962088447797,Daily,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.4981986524458804,Daily,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.8719344645630684,Daily,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.3695821111124836,Daily,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.7517673685340289,Daily,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,0.1183336982968862,Daily,all,All
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.8401608506416582,Daily,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,pearson,0.15776589600131186,Daily,all,All
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.6940762807066401,Daily,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,pearson,0.6085430075004411,Daily,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.6783380840022126,Daily,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.06579135446685877,Daily,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,mbe,0.09728728323699423,Daily,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.08859817684594347,Daily,all,All
CHANARES,Raw,ERA5-Land,mbe,0.051632855191256835,Daily,all,All
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.01069129511677283,Daily,all,All
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.008212903225806454,Daily,all,All
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.13096080000000002,Daily,all,All
FV BOLERO,Raw,ERA5-Land,mbe,-0.03370199004975123,Daily,all,All
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.013612665406427226,Daily,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.04863653444676408,Daily,subset_1,S1
LALACKAMA,Raw,ERA5-Land,mbe,-0.0037575905292479158,Daily,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,mbe,0.0032322075782537023,Daily,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.09428699763593383,Daily,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04850845724907064,Daily,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,mbe,-0.025350572082379858,Daily,all,All
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10727377567140603,Daily,all,All
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.018146740994854204,Daily,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.02336765432098765,Daily,all,All
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.09829057639524244,Daily,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.01970338983050848,Daily,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.03223606194690265,Daily,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.028735747021081576,Daily,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.07619617373319545,Daily,all,All
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.041922002635046106,Daily,all,All
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.075324,Daily,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.2074930576070901,Daily,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.06791583969465649,Daily,all,All
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.3376837704918033,Daily,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.2055312614259598,Daily,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,mbe,-0.024803063308373046,Daily,all,All
QUILAPILUN,Raw,ERA5-Land,mbe,0.03575068181818182,Daily,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.04710605427974948,Daily,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,mbe,-0.03293617245005258,Daily,subset_1,S1
SDGX01,Raw,ERA5-Land,mbe,-0.005495920745920747,Daily,all,All
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.02155273851590106,Daily,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.06321004464285715,Daily,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04891112385321101,Daily,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.13852568639414276,Daily,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03980374429223744,Daily,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.11883971539456666,Daily,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05689457659372026,Daily,all,All
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.06984765840220386,Daily,all,All
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.1568300731261426,Daily,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.11236349206349204,Daily,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.029316142857142864,Daily,all,All
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.048917301750772385,Daily,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.15351068493150682,Daily,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.04300188470066519,Daily,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.021627042079207917,Daily,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.09001874640598044,Daily,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.009593716337522444,Daily,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.15678923705722073,Daily,all,All
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004836688014638609,Daily,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,mbe,0.08616449480642115,Daily,all,All
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.03681924778761062,Daily,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.16146750348675035,Daily,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.012414492753623187,Daily,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,rmse,0.12499958616646195,Daily,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,rmse,0.18314828361714866,Daily,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.1920190790239525,Daily,all,All
CHANARES,Raw,ERA5-Land,rmse,0.1381548079129118,Daily,all,All
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.1583402721465373,Daily,all,All
CORDILLERILLA,Raw,ERA5-Land,rmse,0.14414054765403753,Daily,all,All
EL DIVISADERO,Raw,ERA5-Land,rmse,0.19098207057208275,Daily,all,All
FV BOLERO,Raw,ERA5-Land,rmse,0.12906098401669092,Daily,all,All
LA CHAPEANA,Raw,ERA5-Land,rmse,0.11936578331684125,Daily,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,rmse,0.14661615636378328,Daily,subset_1,S1
LALACKAMA,Raw,ERA5-Land,rmse,0.11066695572992533,Daily,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,rmse,0.11160462098426384,Daily,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,rmse,0.1503123991179876,Daily,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,rmse,0.10046781110770373,Daily,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,rmse,0.1516900605255419,Daily,all,All
LOS PUQUIOS,Raw,ERA5-Land,rmse,0.15435993190656394,Daily,all,All
LUNA DEL NORTE,Raw,ERA5-Land,rmse,0.06866446989080988,Daily,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,rmse,0.15932547475325404,Daily,all,All
MARIA ELENA FV,Raw,ERA5-Land,rmse,0.1337043489826378,Daily,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,rmse,0.14535034825821247,Daily,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,rmse,0.12046660894904206,Daily,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,rmse,0.15402347003532674,Daily,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,rmse,0.13563130329806974,Daily,all,All
PFV LAGUNILLA,Raw,ERA5-Land,rmse,0.14928671532611007,Daily,all,All
PFV LOS LOROS,Raw,ERA5-Land,rmse,0.12778999888964793,Daily,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,rmse,0.2823976207213323,Daily,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,rmse,0.1611449793516044,Daily,all,All
PMGD PICA PILOT,Raw,ERA5-Land,rmse,0.3619809200433219,Daily,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,rmse,0.2265417827727696,Daily,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,rmse,0.12507651488005453,Daily,all,All
QUILAPILUN,Raw,ERA5-Land,rmse,0.1509980835971106,Daily,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,rmse,0.15041510384782916,Daily,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,rmse,0.1290761588944786,Daily,subset_1,S1
SDGX01,Raw,ERA5-Land,rmse,0.11500473016521084,Daily,all,All
SOL DEL NORTE,Raw,ERA5-Land,rmse,0.07056480763079942,Daily,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,rmse,0.10187105152295647,Daily,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,rmse,0.08626284833167508,Daily,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,rmse,0.1936627660534173,Daily,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,rmse,0.12075699894631592,Daily,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,rmse,0.16763296909793698,Daily,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,rmse,0.09424061527828884,Daily,all,All
SOLAR HORMIGA,Raw,ERA5-Land,rmse,0.13934701387357426,Daily,all,All
SOLAR JAMA 1,Raw,ERA5-Land,rmse,0.18053697892311074,Daily,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,rmse,0.14352829750566246,Daily,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,rmse,0.12426183076759445,Daily,all,All
SOLAR LA SILLA,Raw,ERA5-Land,rmse,0.14125097577199122,Daily,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,rmse,0.32487202709815993,Daily,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,rmse,0.12198091573135834,Daily,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,rmse,0.06337984905385237,Daily,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,rmse,0.17344790200404045,Daily,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,rmse,0.0734839821821253,Daily,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,rmse,0.2607622216237583,Daily,all,All
SPS LA HUAYCA,Raw,ERA5-Land,rmse,0.04190511315688903,Daily,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,rmse,0.1782376790582501,Daily,all,All
TILTIL SOLAR,Raw,ERA5-Land,rmse,0.13004285372641486,Daily,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,rmse,0.19406001710063567,Daily,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,rmse,0.13097332492782682,Daily,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,pearson,0.2454555483888458,Monthly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,pearson,0.4622516462317015,Monthly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.045507397436984884,Monthly,all,All
CHANARES,Raw,ERA5-Land,pearson,0.2277120132755112,Monthly,all,All
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.23648948600091385,Monthly,all,All
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7641774157079241,Monthly,all,All
EL DIVISADERO,Raw,ERA5-Land,pearson,0.4317299310858773,Monthly,all,All
FV BOLERO,Raw,ERA5-Land,pearson,0.3057989226452333,Monthly,all,All
LA CHAPEANA,Raw,ERA5-Land,pearson,0.7063845246126841,Monthly,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.4877702352616383,Monthly,subset_1,S1
LALACKAMA,Raw,ERA5-Land,pearson,0.4715187700800563,Monthly,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,pearson,0.4202276859937978,Monthly,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.6754257603059649,Monthly,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.872421924494852,Monthly,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,pearson,0.7528759065329421,Monthly,all,All
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.11036625287771756,Monthly,all,All
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.8465298030625324,Monthly,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.03796130883010936,Monthly,all,All
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.06403409149814096,Monthly,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,-0.041565226925449776,Monthly,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.6360401653462722,Monthly,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.15332149060403086,Monthly,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.4447522449816821,Monthly,all,All
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.6551245216479253,Monthly,all,All
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.9012008281451884,Monthly,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,-0.07768215876804829,Monthly,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,-0.261424086431683,Monthly,all,All
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.16411427078774507,Monthly,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.2620951956857939,Monthly,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,pearson,0.23419528893679936,Monthly,all,All
QUILAPILUN,Raw,ERA5-Land,pearson,0.22467970851874688,Monthly,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.5781919589574076,Monthly,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,pearson,0.7833559144392594,Monthly,subset_1,S1
SDGX01,Raw,ERA5-Land,pearson,0.5346861239354475,Monthly,all,All
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.8388516994855043,Monthly,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,pearson,-0.5588578031130004,Monthly,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.7703318391690169,Monthly,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,-0.15272508574935276,Monthly,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.0800891574115274,Monthly,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.4165829715879161,Monthly,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.5219578965898989,Monthly,all,All
SOLAR HORMIGA,Raw,ERA5-Land,pearson,-0.15236469975405575,Monthly,all,All
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.10263855489286224,Monthly,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.13691471007276032,Monthly,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.30638231289681866,Monthly,all,All
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.26845258806624644,Monthly,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,-0.6099196093994899,Monthly,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,pearson,0.2754215615965728,Monthly,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,pearson,0.8841001014425527,Monthly,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,pearson,0.25331869491043835,Monthly,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,pearson,0.9043616661902502,Monthly,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,pearson,-0.4167835032752229,Monthly,all,All
SPS LA HUAYCA,Raw,ERA5-Land,pearson,0.8970246645431108,Monthly,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,pearson,-0.2665184556059171,Monthly,all,All
TILTIL SOLAR,Raw,ERA5-Land,pearson,0.6612372115434246,Monthly,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,pearson,0.4102464584044561,Monthly,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,pearson,0.6803719787008071,Monthly,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,mbe,-0.06477999999999998,Monthly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,mbe,0.10724999999999997,Monthly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,mbe,0.09779189189189186,Monthly,all,All
CHANARES,Raw,ERA5-Land,mbe,0.05232244897959185,Monthly,all,All
CONEJO SOLAR,Raw,ERA5-Land,mbe,0.010684375000000005,Monthly,all,All
CORDILLERILLA,Raw,ERA5-Land,mbe,-0.0038923076923076953,Monthly,all,All
EL DIVISADERO,Raw,ERA5-Land,mbe,-0.12569999999999998,Monthly,all,All
FV BOLERO,Raw,ERA5-Land,mbe,-0.024449999999999986,Monthly,all,All
LA CHAPEANA,Raw,ERA5-Land,mbe,-0.013566666666666664,Monthly,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,mbe,-0.05031875,Monthly,subset_1,S1
LALACKAMA,Raw,ERA5-Land,mbe,-0.004716666666666665,Monthly,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,mbe,6.928571428571525e-4,Monthly,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,mbe,0.09063666666666667,Monthly,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,mbe,0.04779722222222222,Monthly,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,mbe,-0.030206666666666673,Monthly,all,All
LOS PUQUIOS,Raw,ERA5-Land,mbe,0.10805416666666667,Monthly,all,All
LUNA DEL NORTE,Raw,ERA5-Land,mbe,-0.017219999999999985,Monthly,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,mbe,0.03749767441860466,Monthly,all,All
MARIA ELENA FV,Raw,ERA5-Land,mbe,-0.09854444444444443,Monthly,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,mbe,-0.007488235294117657,Monthly,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,mbe,0.030040000000000008,Monthly,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,mbe,-0.027355555555555564,Monthly,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,mbe,-0.07689375,Monthly,all,All
PFV LAGUNILLA,Raw,ERA5-Land,mbe,-0.04235555555555556,Monthly,all,All
PFV LOS LOROS,Raw,ERA5-Land,mbe,0.08151935483870969,Monthly,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,mbe,0.19422608695652172,Monthly,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,mbe,-0.047738888888888865,Monthly,all,All
PMGD PICA PILOT,Raw,ERA5-Land,mbe,0.34744166666666665,Monthly,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,mbe,-0.20625,Monthly,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,mbe,-0.012150980392156865,Monthly,all,All
QUILAPILUN,Raw,ERA5-Land,mbe,0.047463333333333316,Monthly,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,mbe,-0.04931250000000001,Monthly,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,mbe,-0.033600000000000005,Monthly,subset_1,S1
SDGX01,Raw,ERA5-Land,mbe,-0.013080645161290323,Monthly,all,All
SOL DEL NORTE,Raw,ERA5-Land,mbe,-0.02345128205128204,Monthly,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,mbe,-0.02050555555555555,Monthly,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,mbe,0.04818,Monthly,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,mbe,0.14697142857142856,Monthly,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,mbe,0.03871111111111111,Monthly,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,mbe,0.12132307692307695,Monthly,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,mbe,0.05572162162162162,Monthly,all,All
SOLAR HORMIGA,Raw,ERA5-Land,mbe,0.08204800000000001,Monthly,all,All
SOLAR JAMA 1,Raw,ERA5-Land,mbe,-0.15743333333333334,Monthly,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,mbe,-0.1074027777777778,Monthly,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,mbe,0.03467916666666667,Monthly,all,All
SOLAR LA SILLA,Raw,ERA5-Land,mbe,-0.03822727272727272,Monthly,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,mbe,0.15300625,Monthly,all,All
SOLAR LLANO DE LLAMPOS,Raw,ERA5-Land,mbe,-0.041470000000000014,Monthly,all,All
SOLAR PSF LOMAS COLORADAS,Raw,ERA5-Land,mbe,0.022016666666666667,Monthly,subset_2,S2
SOLAR SAN ANDRES,Raw,ERA5-Land,mbe,0.09257966101694914,Monthly,all,All
SOLAR SANTA CECILIA,Raw,ERA5-Land,mbe,0.008191228070175442,Monthly,subset_2,S2
SOLAR TECHOS ALTAMIRA,Raw,ERA5-Land,mbe,0.16609259259259254,Monthly,all,All
SPS LA HUAYCA,Raw,ERA5-Land,mbe,0.004311111111111109,Monthly,subset_2,S2
TAMBO REAL,Raw,ERA5-Land,mbe,0.0797105263157895,Monthly,all,All
TILTIL SOLAR,Raw,ERA5-Land,mbe,-0.03724516129032256,Monthly,subset_1,S1
URIBE SOLAR,Raw,ERA5-Land,mbe,-0.16500833333333334,Monthly,subset_1,S1
VALLE DE LA LUNA II,Raw,ERA5-Land,mbe,-0.013312500000000008,Monthly,subset_1,S1
ANDES SOLAR,Raw,ERA5-Land,rmse,0.10784522375012387,Monthly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,rmse,0.16596440130341206,Monthly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,rmse,0.18946449214505545,Monthly,all,All
CHANARES,Raw,ERA5-Land,rmse,0.11031569355671003,Monthly,all,All
CONEJO SOLAR,Raw,ERA5-Land,rmse,0.1222588404267765,Monthly,all,All
CORDILLERILLA,Raw,ERA5-Land,rmse,0.10003449789562983,Monthly,all,All
