Installation,Type,Source,Indicator,Value,Resolution,set,Set
LUNA DEL NORTE,deseasonalized,Rn,pearson,0.9471310225436056,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,pearson,0.9597942933719501,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,pearson,0.9396286001590969,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,pearson,0.9526402212962947,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,pearson,0.9857248962756218,Monthly,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,mbe,0.10756249999999999,Monthly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.043062500000000004,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,mbe,-0.05714374999999999,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,mbe,0.07429375000000002,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,mbe,0.02920624999999999,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,mbe,0.009706250000000003,Monthly,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,mbe,0.11708749999999998,Monthly,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,mbe,0.13648749999999998,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,mbe,0.11691250000000002,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,mbe,0.14909375,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,mbe,0.123975,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,mbe,0.014100000000000001,Monthly,subset_2,S2
LAS MOLLACAS,deseasonalized,ERA5-Land,rmse,0.08256733615661825,Monthly,subset_2,S2
LUNA DEL NORTE,deseasonalized,ERA5-Land,rmse,0.06182889696573925,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,ERA5-Land,rmse,0.0650260476655317,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,ERA5-Land,rmse,0.06336193159145323,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,ERA5-Land,rmse,0.05746207988752234,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,ERA5-Land,rmse,0.028337949378880612,Monthly,subset_2,S2
LAS MOLLACAS,deseasonalized,Rn,rmse,0.08964569147482775,Monthly,subset_2,S2
LUNA DEL NORTE,deseasonalized,Rn,rmse,0.10219785345103878,Monthly,subset_2,S2
SOL DEL NORTE,deseasonalized,Rn,rmse,0.09077756468423243,Monthly,subset_2,S2
SOLAR PSF LOMAS COLORADAS,deseasonalized,Rn,rmse,0.10056409336835886,Monthly,subset_2,S2
SOLAR SANTA CECILIA,deseasonalized,Rn,rmse,0.08630410621749117,Monthly,subset_2,S2
SPS LA HUAYCA,deseasonalized,Rn,rmse,0.02315534495532295,Monthly,subset_2,S2
ANDES SOLAR,Raw,ERA5-Land,pearson,0.7974282424835166,Hourly,subset_1,S1
BELLAVISTA,Raw,ERA5-Land,pearson,0.7674961297209879,Hourly,all,All
CARRERA PINTO ETAPA I,Raw,ERA5-Land,pearson,0.6148117654224342,Hourly,all,All
CHANARES,Raw,ERA5-Land,pearson,0.738582963149102,Hourly,all,All
CONEJO SOLAR,Raw,ERA5-Land,pearson,0.6682640394215617,Hourly,all,All
CORDILLERILLA,Raw,ERA5-Land,pearson,0.7610849470809814,Hourly,all,All
EL DIVISADERO,Raw,ERA5-Land,pearson,0.7362220450747002,Hourly,all,All
FV BOLERO,Raw,ERA5-Land,pearson,0.7826702891546229,Hourly,all,All
LA CHAPEANA,Raw,ERA5-Land,pearson,0.7785145320077007,Hourly,subset_1,S1
LA QUINTA SOLAR,Raw,ERA5-Land,pearson,0.7794418526426778,Hourly,subset_1,S1
LALACKAMA,Raw,ERA5-Land,pearson,0.6894889384530316,Hourly,subset_1,S1
LALACKAMA 2,Raw,ERA5-Land,pearson,0.6775511747606482,Hourly,subset_1,S1
LAS ARAUCARIAS,Raw,ERA5-Land,pearson,0.8410778319481784,Hourly,subset_1,S1
LAS MOLLACAS,Raw,ERA5-Land,pearson,0.8748924006593395,Hourly,subset_2,S2
LAS TURCAS,Raw,ERA5-Land,pearson,0.7373120660103041,Hourly,all,All
LOS PUQUIOS,Raw,ERA5-Land,pearson,0.8566104960341372,Hourly,all,All
LUNA DEL NORTE,Raw,ERA5-Land,pearson,0.93077880697099,Hourly,subset_2,S2
LUZ DEL NORTE,Raw,ERA5-Land,pearson,0.6311529235427535,Hourly,all,All
MARIA ELENA FV,Raw,ERA5-Land,pearson,0.8228285356420268,Hourly,subset_1,S1
PAMPA SOLAR NORTE,Raw,ERA5-Land,pearson,0.6812945146252757,Hourly,all,All
PARQUE SOLAR CUZ CUZ,Raw,ERA5-Land,pearson,0.8006098397236785,Hourly,all,All
PARQUE SOLAR FINIS TERRAE,Raw,ERA5-Land,pearson,0.7593626140895499,Hourly,all,All
PARQUE SOLAR PAMPA CAMARONES,Raw,ERA5-Land,pearson,0.7892052531755778,Hourly,all,All
PFV LAGUNILLA,Raw,ERA5-Land,pearson,0.7657779096689175,Hourly,all,All
PFV LOS LOROS,Raw,ERA5-Land,pearson,0.8435114825535514,Hourly,all,All
PILOTO SOLAR CARDONES,Raw,ERA5-Land,pearson,0.5634243475318533,Hourly,subset_1,S1
PLANTA PV CERRO DOMINADOR,Raw,ERA5-Land,pearson,0.7466488098721713,Hourly,all,All
PMGD PICA PILOT,Raw,ERA5-Land,pearson,0.6307039663363867,Hourly,all,All
PUERTO SECO SOLAR,Raw,ERA5-Land,pearson,0.8034337737232652,Hourly,subset_1,S1
PV SALVADOR,Raw,ERA5-Land,pearson,0.6955740684063131,Hourly,all,All
QUILAPILUN,Raw,ERA5-Land,pearson,0.7766043524844586,Hourly,all,All
SAN FRANCISCO SOLAR,Raw,ERA5-Land,pearson,0.7739996512656163,Hourly,subset_1,S1
SANTA JULIA,Raw,ERA5-Land,pearson,0.7778489878076894,Hourly,subset_1,S1
SDGX01,Raw,ERA5-Land,pearson,0.8431734127879961,Hourly,all,All
SOL DEL NORTE,Raw,ERA5-Land,pearson,0.931446924499078,Hourly,subset_2,S2
SOLAR ANTAY,Raw,ERA5-Land,pearson,0.9310233828455656,Hourly,all,All
SOLAR CHUCHINI,Raw,ERA5-Land,pearson,0.9330142607577832,Hourly,subset_1,S1
SOLAR DIEGO DE ALMAGRO,Raw,ERA5-Land,pearson,0.7995632705947792,Hourly,all,All
SOLAR EL AGUILA I,Raw,ERA5-Land,pearson,0.8817931465155577,Hourly,all,All
SOLAR EL ROMERO,Raw,ERA5-Land,pearson,0.7753892645537636,Hourly,all,All
SOLAR ESPERANZA,Raw,ERA5-Land,pearson,0.9155824693623548,Hourly,all,All
SOLAR HORMIGA,Raw,ERA5-Land,pearson,0.8587852967999241,Hourly,all,All
SOLAR JAMA 1,Raw,ERA5-Land,pearson,0.7891492218212964,Hourly,subset_1,S1
SOLAR JAMA 2,Raw,ERA5-Land,pearson,0.7918135539368404,Hourly,subset_1,S1
SOLAR JAVIERA,Raw,ERA5-Land,pearson,0.7103007221052487,Hourly,all,All
SOLAR LA SILLA,Raw,ERA5-Land,pearson,0.748599747223134,Hourly,all,All
SOLAR LAS TERRAZAS,Raw,ERA5-Land,pearson,0.7002346968259237,Hourly,all,All
